epi,end_time_step,total_return
0.0,690.0,189.0
0.0,818.0,231.0
0.0,583.0,210.0
1.0,1032.0,189.0
2.0,946.0,168.0
3.0,1010.0,189.0
4.0,989.0,168.0
0.0,733.0,189.0
1.0,1000.0,294.0
2.0,512.0,168.0
3.0,861.0,252.0
4.0,555.0,189.0
5.0,872.0,294.0
6.0,829.0,189.0
7.0,840.0,231.0
8.0,648.0,189.0
9.0,810.0,336.0
10.0,853.0,231.0
11.0,818.0,273.0
12.0,872.0,273.0
13.0,555.0,189.0
14.0,605.0,252.0
15.0,935.0,252.0
16.0,637.0,168.0
17.0,679.0,189.0
18.0,722.0,252.0
19.0,850.0,210.0
20.0,733.0,252.0
21.0,712.0,294.0
22.0,818.0,315.0
23.0,946.0,294.0
24.0,584.0,168.0
25.0,669.0,189.0
26.0,349.0,42.0
27.0,810.0,210.0
28.0,285.0,63.0
29.0,669.0,189.0
30.0,701.0,126.0
31.0,957.0,273.0
32.0,861.0,315.0
33.0,797.0,189.0
34.0,786.0,231.0
35.0,690.0,231.0
36.0,850.0,189.0
37.0,882.0,273.0
38.0,647.0,294.0
39.0,498.0,126.0
40.0,470.0,63.0
41.0,690.0,168.0
42.0,776.0,168.0
43.0,839.0,231.0
44.0,893.0,336.0
45.0,658.0,189.0
46.0,776.0,273.0
47.0,853.0,315.0
48.0,768.0,231.0
49.0,872.0,210.0
50.0,391.0,84.0
51.0,626.0,189.0
52.0,914.0,399.0
53.0,768.0,231.0
54.0,811.0,189.0
55.0,637.0,168.0
56.0,818.0,315.0
57.0,669.0,231.0
58.0,914.0,315.0
59.0,701.0,273.0
60.0,690.0,294.0
61.0,470.0,126.0
62.0,512.0,189.0
63.0,861.0,399.0
64.0,477.0,168.0
65.0,530.0,168.0
66.0,882.0,210.0
67.0,797.0,231.0
68.0,925.0,315.0
69.0,434.0,168.0
70.0,903.0,336.0
71.0,914.0,336.0
72.0,818.0,273.0
73.0,616.0,294.0
74.0,555.0,189.0
75.0,647.0,168.0
76.0,669.0,210.0
77.0,690.0,252.0
78.0,584.0,126.0
79.0,690.0,210.0
80.0,1021.0,294.0
81.0,818.0,336.0
82.0,861.0,294.0
83.0,626.0,189.0
84.0,754.0,210.0
85.0,818.0,210.0
86.0,683.0,189.0
87.0,712.0,336.0
88.0,818.0,210.0
89.0,605.0,189.0
90.0,839.0,273.0
91.0,669.0,252.0
92.0,939.0,315.0
93.0,904.0,420.0
94.0,605.0,168.0
95.0,754.0,378.0
96.0,808.0,357.0
97.0,978.0,378.0
98.0,669.0,168.0
99.0,682.0,294.0
0.0,810.0,378.0
1.0,1010.0,399.0
2.0,640.0,336.0
3.0,669.0,189.0
4.0,648.0,210.0
5.0,808.0,378.0
6.0,744.0,315.0
7.0,882.0,231.0
8.0,605.0,168.0
9.0,555.0,168.0
10.0,829.0,210.0
11.0,733.0,189.0
12.0,840.0,231.0
13.0,726.0,231.0
14.0,639.0,252.0
15.0,786.0,252.0
16.0,682.0,210.0
17.0,658.0,189.0
18.0,349.0,189.0
19.0,725.0,273.0
